Date      ,CAPE
1940-01-01,16.37848034
1940-02-01,16.21611985
1940-03-01,16.17290631
1940-04-01,16.37098871
1940-05-01,14.13874769
1940-06-01,12.8437656
1940-07-01,13.36988476
1940-08-01,13.64939939
1940-09-01,14.2148426
1940-10-01,14.32829032
1940-11-01,14.63668925
1940-12-01,13.90842612
1941-01-01,13.90415827
1941-02-01,13.0029433
1941-03-01,12.95571982
1941-04-01,12.42937039
1941-05-01,12.03720651
1941-06-01,12.16430659
1941-07-01,12.74499628
1941-08-01,12.46317372
1941-09-01,12.27972927
1941-10-01,11.57781496
1941-11-01,10.91166869
1941-12-01,10.08659331
1942-01-01,10.10168643
1942-02-01,9.680255592
1942-03-01,9.003426618
1942-04-01,8.544255708
1942-05-01,8.50611626
1942-06-01,8.905456929
1942-07-01,9.150488901
1942-08-01,9.012823048
1942-09-01,9.077829839
1942-10-01,9.599176749
1942-11-01,9.661334152
1942-12-01,9.617514103
1943-01-01,10.15053422
1943-02-01,10.708983
1943-03-01,10.85054174
1943-04-01,11.03922714
1943-05-01,11.3622158
1943-06-01,11.51674479
1943-07-01,11.77421334
1943-08-01,11.2105459
1943-09-01,11.33628194
1943-10-01,11.1873355
1943-11-01,10.63103367
1943-12-01,10.73736032
1944-01-01,11.05241276
1944-02-01,10.94791889
1944-03-01,11.2246932
1944-04-01,10.93827519
1944-05-01,11.10373694
1944-06-01,11.53278527
1944-07-01,11.73877475
1944-08-01,11.54171167
1944-09-01,11.32856058
1944-10-01,11.58310519
1944-11-01,11.4784592
1944-12-01,11.63868359
1945-01-01,11.96046344
1945-02-01,12.34175355
1945-03-01,12.32331031
1945-04-01,12.63186724
1945-05-01,13.03656063
1945-06-01,13.13022336
1945-07-01,12.86702844
1945-08-01,12.91537856
1945-09-01,13.79826495
1945-10-01,14.37466268
1945-11-01,14.84770266
1945-12-01,15.02034747
1946-01-01,15.62316318
1946-02-01,15.76166653
1946-03-01,15.13487342
1946-04-01,16.04084239
1946-05-01,16.01372317
1946-06-01,15.77318688
1946-07-01,14.50813611
1946-08-01,13.98493931
1946-09-01,11.84126754
1946-10-01,11.38760296
1946-11-01,11.11004366
1946-12-01,11.37277943
1947-01-01,11.46929633
1947-02-01,11.94956531
1947-03-01,11.2879031
1947-04-01,10.90082513
1947-05-01,10.73367427
1947-06-01,11.08271586
1947-07-01,11.69644655
1947-08-01,11.33747236
1947-09-01,10.82746302
1947-10-01,11.13266204
1947-11-01,10.97540732
1947-12-01,10.68091253
1948-01-01,10.41934266
1948-02-01,9.999761169
1948-03-01,10.18668061
1948-04-01,10.77948448
1948-05-01,11.2410327
1948-06-01,11.58389576
1948-07-01,11.13462174
1948-08-01,10.72355666
1948-09-01,10.55301369
1948-10-01,10.82540981
1948-11-01,10.24809621
1948-12-01,10.15965294
1949-01-01,10.24828576
1949-02-01,9.872517141
1949-03-01,9.901332491
1949-04-01,9.783639868
1949-05-01,9.692295086
1949-06-01,9.067718943
1949-07-01,9.605038093
1949-08-01,9.851348638
1949-09-01,9.884048362
1949-10-01,10.16985084
1949-11-01,10.21586101
1949-12-01,10.5293309
1950-01-01,10.7457333
1950-02-01,10.91156407
1950-03-01,10.91094652
1950-04-01,11.1780216
1950-05-01,11.4615431
1950-06-01,11.55412614
1950-07-01,10.53974566
1950-08-01,11.04061167
1950-09-01,11.3373911
1950-10-01,11.66244404
1950-11-01,11.54217339
1950-12-01,11.30666579
1951-01-01,11.89575984
1951-02-01,12.14150737
1951-03-01,11.84162649
1951-04-01,11.9510972
1951-05-01,11.86387541
1951-06-01,11.61566486
1951-07-01,11.77819009
1951-08-01,12.25698908
1951-09-01,12.44495316
1951-10-01,12.3094579
1951-11-01,11.85203062
1951-12-01,12.14707257
1952-01-01,12.52705975
1952-02-01,12.36411935
1952-03-01,12.36233909
1952-04-01,12.24272868
1952-05-01,12.20047876
1952-06-01,12.44788158
1952-07-01,12.66911289
1952-08-01,12.67837824
1952-09-01,12.43467802
1952-10-01,12.13118356
1952-11-01,12.47346977
1952-12-01,12.93396431
1953-01-01,13.01077345
1953-02-01,12.85934688
1953-03-01,12.83481934
1953-04-01,12.16390145
1953-05-01,12.14197079
1953-06-01,11.62440789
1953-07-01,11.75020165
1953-08-01,11.7150762
1953-09-01,11.13934936
1953-10-01,11.39193477
1953-11-01,11.64407027
1953-12-01,11.75444918
1954-01-01,12.00265055
1954-02-01,12.21505249
1954-03-01,12.4201053
1954-04-01,12.90786818
1954-05-01,13.31204224
1954-06-01,13.3578859
1954-07-01,13.83300956
1954-08-01,14.04211235
1954-09-01,14.35647414
1954-10-01,14.61923194
1954-11-01,15.1173117
1954-12-01,15.789062
1955-01-01,15.99078106
1955-02-01,16.43772822
1955-03-01,16.21928295
1955-04-01,16.68526663
1955-05-01,16.51805783
1955-06-01,17.37009196
1955-07-01,18.45403191
1955-08-01,18.22232646
1955-09-01,18.84396065
1955-10-01,17.77232579
1955-11-01,18.83555929
1955-12-01,18.94236904
1956-01-01,18.29258539
1956-02-01,18.26611682
1956-03-01,19.3712101
1956-04-01,19.37059363
1956-05-01,18.54450659
1956-06-01,18.15816385
1956-07-01,18.8567976
1956-08-01,18.67093711
1956-09-01,17.8366408
1956-10-01,17.41895295
1956-11-01,17.12033974
1956-12-01,17.19752273
1957-01-01,16.71778008
1957-02-01,15.84373314
1957-03-01,15.90041711
1957-04-01,16.12370436
1957-05-01,16.59811079
1957-06-01,16.72991887
1957-07-01,16.86888238
1957-08-01,15.86894273
1957-09-01,15.15727449
1957-10-01,14.14945149
1957-11-01,13.73624224
1957-12-01,13.67324606
1958-01-01,13.78843155
1958-02-01,13.78490639
1958-03-01,13.92558992
1958-04-01,13.91350177
1958-05-01,14.32382497
1958-06-01,14.63555555
1958-07-01,14.9574571
1958-08-01,15.54456689
1958-09-01,15.93192318
1958-10-01,16.55980331
1958-11-01,16.98888358
1958-12-01,17.35835737
1959-01-01,17.98033934
1959-02-01,17.75916926
1959-03-01,18.20087185
1959-04-01,18.43075305
1959-05-01,18.69272144
1959-06-01,18.4485914
1959-07-01,19.09053398
1959-08-01,18.95880364
1959-09-01,18.12329056
1959-10-01,18.02196244
1959-11-01,18.07178913
1959-12-01,18.62472898
1960-01-01,18.33828499
1960-02-01,17.54527511
1960-03-01,17.28602072
1960-04-01,17.42976695
1960-05-01,17.25617058
1960-06-01,17.82336382
1960-07-01,17.37680647
1960-08-01,17.58211304
1960-09-01,17.05201547
1960-10-01,16.60510454
1960-11-01,17.14608845
1960-12-01,17.56209083
1961-01-01,18.47041699
1961-02-01,19.2340145
1961-03-01,19.84422527
1961-04-01,20.38284298
1961-05-01,20.59860684
1961-06-01,20.33241455
1961-07-01,20.14664374
1961-08-01,20.94168848
1961-09-01,20.70524304
1961-10-01,20.92419014
1961-11-01,21.85795772
1961-12-01,22.0414802
1962-01-01,21.1979314
1962-02-01,21.45168775
1962-03-01,21.44315857
1962-04-01,20.65833645
1962-05-01,19.0893675
1962-06-01,16.82757124
1962-07-01,17.14132566
1962-08-01,17.57126263
1962-09-01,17.32146115
1962-10-01,16.73982097
